ID,Issue,Percentage,Category
1,Harassment in School,78,School
2,Physical assault in School,35,School
3,Sexual Violence in School,12,School
4,Left School due to Discrimination,15,School
5,Lost job due to gender identity,26,Employment
6,Harassment at Job,90,Employment
7,Fired/Not Hired/Not Promoted,47,Employment
8,Work in Underground Economy,16,Employment
9,Unemployment,14,Employment
10,Denied Home,19,Housing
11,Homeless at some point,19,Housing
12,Homeless currently,2,Housing
13,Own House,32,Housing
14,Refused Medical Care,19,Healthcare
15,Medical care Postponement,50,Healthcare
16,Harassed in public,53,Public Accommodation 
17,Unequal treatment by Govt. employee,22,Public Accommodation 
18,Police Harassment ,29,Public Accommodation 
19,Harassed by Judge/Court official,12,Public Accommodation 
20,All IDs updated,21,ID Documentation
21,ID without current gender expression,41,ID Documentation
22,Harassed for unmatching ID gender,40,ID Documentation
23,Family Rejection,57,Family Acceptance
24,Never worked un Underground economy,84,Employment
25,Graduate Degree,20,Education
26,College Degree,27,Education
27,Some College,40,Education
28,Some Disability,30,Healthcare
29,Registered voter,89,Civic Participation 
30,Served in Armed Forces,20,Civic Participation 
31,Expelled due to gender expression,6,School
32,Underemployment,44,Employment
33,Lack of provider knowledge,50,Healthcare
34,HIV Infection,2.64,Healthcare
35,Attempted Suicide,41,Healthcare
36,Misused Drugs due to mistreatment,25,Healthcare
37,Maintained Family bond,43,Family Acceptance
38,Domestic Violence ,19,Family Acceptance
39,Evicted from Home,11,Housing