name,code,pop,support
Spain,ESP,43397491,81
Sweden,SWE,9038049,77
Argentina,ARG,38747148,76
Canada,CAN,32270507,76
Germany,DEU,82652369,74
United Kingdom,GBR,60244834,73
Belgium,BEL,10398049,70
Australia,AUS,20310208,68
India,IND,1134403141,68
United States,USA,299846449,66
France,FRA,60990544,64
Mexico,MEX,104266392,64
Brazil,BRA,186830759,63
Italy,ITA,5864636,63
South Africa,ZAF,47938663,63
Japan,JPN,127896740,62
China,CHN,1312978855,60
Turkey,TUR,72969723,59
Peru,PER,27274266,55
Hungary,HUN,10086387,53
Poland,POL,38195558,53
Korea,Republic of KOR,47869837,53
Russia,RUS,143953092,44